Brand,Model,Year Made,Imported Year,Price,Odometer,Мотор багтаамж,Хурдны хайрцаг,Хүрд,Төрөл,Өнгө,Үйлдвэрлэсэн он,Орж ирсэн он,Хөдөлгүүр,Дотор өнгө,Лизинг,Хөтлөгч,Нөхцөл,Хаалга
Lexus,GS,2015,2024,2 сая ₮,120,3.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2015,2024,Хайбрид,Бусад,Банкны лизингтэй,Хойноо RWD,Дугаар аваагүй,5
Toyota,Tacoma,2013,2022,82 сая ₮,188000,4.0 л,Автомат,Зөв,Жийп,Хар,2013,2022,Бензин,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,4
Toyota,Prius 30,2012,2020,5 сая ₮,120000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2020,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Sai,2011,2023,5 сая ₮,200000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2023,Хайбрид,Саарал,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Prius 20,2007,2023,5 сая ₮,190000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2007,2023,Бензин,Шаргал,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Aqua,2015,2021,5 сая ₮,123321,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2015,2021,Хайбрид,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
Subaru,Forester,2010,2020,5 сая ₮,152000,2.0 л,Автомат,Зөв,Жийп,Хар,2010,2020,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Ford,Transit,2018,2022,45 сая ₮,48000,2.2 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2018,2022,Дизель,Бусад,гүй,Урдаа FWD,Дугаар авсан,5
Автомашин,зарна Бусад,2011,2012,32 сая ₮,6000,2.4 л,Механик,Зөв,Гэр бүлийн,Саарал,2011,2012,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Toyota,Tacoma,2013,2022,82 сая ₮,188000,4.0 л,Автомат,Зөв,Жийп,Хар,2013,2022,Бензин,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,4
Toyota,Prius 30,2012,2020,5 сая ₮,120000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2020,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Sai,2011,2023,5 сая ₮,200000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2023,Хайбрид,Саарал,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Prius 20,2007,2023,5 сая ₮,190000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2007,2023,Бензин,Шаргал,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Aqua,2015,2021,5 сая ₮,123321,1.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2015,2021,Хайбрид,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
Subaru,Forester,2010,2020,5 сая ₮,152000,2.0 л,Автомат,Зөв,Жийп,Хар,2010,2020,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,4
